occupation,employment,year
"Rolling machine setters, operators, and tenders, metal and plastic",13,2019
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",70,2019
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",6,2019
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",44,2019
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",6,2019
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,2019
Machinists,375,2019
"Metal furnace operators, tenders, pourers, and casters",23,2019
"Model makers and patternmakers, metal and plastic",5,2019
"Molders and molding machine setters, operators, and tenders, metal and plastic",45,2019
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,2019
Tool and die makers,55,2019
"Welding, soldering, and brazing workers",592,2019
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,2019
"Layout workers, metal and plastic",10,2019
"Plating and coating machine setters, operators, and tenders, metal and plastic",13,2019
"Tool grinders, filers, and sharpeners",1,2019
"Metal workers and plastic workers, all other",392,2019
Prepress technicians and workers,27,2019
Printing press operators,133,2019
Print binding and finishing workers,14,2019
Laundry and dry-cleaning workers,134,2019
"Pressers, textile, garment, and related materials",28,2019
Sewing machine operators,179,2019
Shoe and leather workers and repairers,7,2019
Shoe machine operators and tenders,5,2019
"Tailors, dressmakers, and sewers",86,2019
Textile bleaching and dyeing machine operators and tenders,2,2019
"Textile cutting machine setters, operators, and tenders",4,2019
"Textile knitting and weaving machine setters, operators, and tenders",9,2019
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",10,2019
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1,2019
Fabric and apparel patternmakers,0,2019
Upholsterers,30,2019
"Textile, apparel, and furnishings workers, all other",13,2019
Cabinetmakers and bench carpenters,65,2019
Furniture finishers,18,2019
"Model makers and patternmakers, wood",0,2019
"Sawing machine setters, operators, and tenders, wood",33,2019
"Woodworking machine setters, operators, and tenders, except sawing",12,2019
"Woodworkers, all other",23,2019
"Power plant operators, distributors, and dispatchers",43,2019
Stationary engineers and boiler operators,52,2019
Water and wastewater treatment plant and system operators,110,2019
Miscellaneous plant and system operators,51,2019
"Chemical processing machine setters, operators, and tenders",73,2019
"Crushing, grinding, polishing, mixing, and blending workers",90,2019
Cutting workers,60,2019
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",27,2019
"Furnace, kiln, oven, drier, and kettle operators and tenders",17,2019
"Inspectors, testers, sorters, samplers, and weighers",802,2019
Jewelers and precious stone and metal workers,40,2019
"Medical, dental, and ophthalmic laboratory technicians",91,2019
Packaging and filling machine operators and tenders,262,2019
Painting workers,171,2019
Photographic process workers and processing machine operators,13,2019
Semiconductor processors,0,2019
Adhesive bonding machine operators and tenders,10,2019
"Cleaning, washing, and metal pickling equipment operators and tenders",2,2019
Cooling and freezing equipment operators and tenders,2,2019
Etchers and engravers,8,2019
"Molders, shapers, and casters, except metal and plastic",31,2019
"Paper goods machine setters, operators, and tenders",24,2019
Tire builders,8,2019
Helpers--production workers,54,2019
"Production workers, all other",1141,2019
Transportation and material moving occupations,10063,2019
Supervisors of transportation and material moving workers,206,2019
Aircraft pilots and flight engineers,141,2019
Air traffic controllers and airfield operations specialists,43,2019
Flight attendants,110,2019
"Ambulance drivers and attendants, except emergency medical technicians",15,2019
Bus drivers,546,2019
Driver/sales workers and truck drivers,3608,2019
Taxi drivers and chauffeurs,790,2019
"Motor vehicle operators, all other",66,2019
Locomotive engineers and operators,42,2019
"Railroad brake, signal, and switch operators",2,2019
Railroad conductors and yardmasters,52,2019
"Subway, streetcar, and other rail transportation workers",9,2019
Sailors and marine oilers,19,2019
Ship and boat captains and operators,45,2019
Ship engineers,5,2019
Bridge and lock tenders,0,2019
Parking lot attendants,83,2019
Automotive and watercraft service attendants,88,2019
Transportation inspectors,42,2019
"Transportation attendants, except flight attendants",43,2019
Other transportation workers,38,2019
Conveyor operators and tenders,2,2019
Crane and tower operators,63,2019
"Dredge, excavating, and loading machine operators",28,2019
Hoist and winch operators,9,2019
Industrial truck and tractor operators,571,2019
Cleaners of vehicles and equipment,344,2019
"Laborers and freight, stock, and material movers, hand",2235,2019
Machine feeders and offbearers,24,2019
"Packers and packagers, hand",628,2019
Pumping station operators,16,2019
Refuse and recyclable material collectors,99,2019
Mine shuttle car operators,2,2019
"Tank car, truck, and ship loaders",6,2019
"Material moving workers, all other",41,2019
Total employed,147795,2020
"Management, professional, and related occupations",63644,2020
"Management, business, and financial operations occupations",27143,2020
Management occupations,18564,2020
Chief executives,1669,2020
General and operations managers,1057,2020
Legislators,25,2020
Advertising and promotions managers,56,2020
Marketing managers,554,2020
Sales managers,521,2020
Public relations and fundraising managers,95,2020
Administrative services managers,65,2020
Facilities managers,134,2020
Computer and information systems managers,744,2020
Financial managers,1309,2020
Compensation and benefits managers,18,2020
Human resources managers,287,2020
Training and development managers,52,2020
Industrial production managers,272,2020
Purchasing managers,212,2020
"Transportation, storage, and distribution managers",300,2020
"Farmers, ranchers, and other agricultural managers",901,2020
Construction managers,966,2020
Education and childcare administrators,948,2020
Architectural and engineering managers,171,2020
Food service managers,1092,2020
Funeral home managers,10,2020
Entertainment and recreation managers,40,2020
Lodging managers,123,2020
Medical and health services managers,711,2020
Natural sciences managers,16,2020
Postmasters and mail superintendents,24,2020
"Property, real estate, and community association managers",781,2020
Social and community service managers,424,2020
Emergency management directors,12,2020
"Personal service managers, all other",2,2020
"Managers, all other",4969,2020
Business and financial operations occupations,8578,2020
"Agents and business managers of artists, performers, and athletes",36,2020
"Buyers and purchasing agents, farm products",10,2020
"Wholesale and retail buyers, except farm products",178,2020
"Purchasing agents, except wholesale, retail, and farm products",230,2020
"Claims adjusters, appraisers, examiners, and investigators",350,2020
Compliance officers,305,2020
Cost estimators,121,2020
Human resources workers,832,2020
"Compensation, benefits, and job analysis specialists",74,2020
Training and development specialists,115,2020
Logisticians,147,2020
Project management specialists,715,2020
Management analysts,997,2020
"Meeting, convention, and event planners",118,2020
Fundraisers,99,2020
Market research analysts and marketing specialists,438,2020
"Business operations specialists, all other",308,2020
Accountants and auditors,1696,2020
Property appraisers and assessors,86,2020
Budget analysts,60,2020
Credit analysts,30,2020
Financial and investment analysts,351,2020
Personal financial advisors,514,2020
Insurance underwriters,102,2020
Financial examiners,25,2020
Credit counselors and loan officers,400,2020
"Tax examiners and collectors, and revenue agents",61,2020
Tax preparers,96,2020
Other financial specialists,82,2020
Professional and related occupations,36502,2020
Computer and mathematical occupations,5603,2020
Computer and information research scientists,42,2020
Computer systems analysts,594,2020
Information security analysts,137,2020
Computer programmers,417,2020
Software developers,1883,2020
Software quality assurance analysts and testers,82,2020
Web developers,104,2020
Web and digital interface designers,70,2020
Computer support specialists,660,2020
Database administrators and architects,121,2020
Network and computer systems administrators,238,2020
Computer network architects,107,2020
"Computer occupations, all other",792,2020
Actuaries,32,2020
Mathematicians,3,2020
Operations research analysts,156,2020
Statisticians,61,2020
Other mathematical science occupations,103,2020
Architecture and engineering occupations,3169,2020
"Architects, except landscape and naval",190,2020
Landscape architects,27,2020
"Surveyors, cartographers, and photogrammetrists",45,2020
Aerospace engineers,129,2020
Agricultural engineers,7,2020
Bioengineers and biomedical engineers,22,2020
Chemical engineers,70,2020
Civil engineers,422,2020
Computer hardware engineers,89,2020
Electrical and electronics engineers,268,2020
Environmental engineers,33,2020
"Industrial engineers, including health and safety",225,2020
Marine engineers and naval architects,16,2020
Materials engineers,53,2020
Mechanical engineers,357,2020
"Mining and geological engineers, including mining safety engineers",17,2020
Nuclear engineers,10,2020
Petroleum engineers,15,2020
"Engineers, all other",560,2020
Architectural and civil drafters,38,2020
Other drafters,95,2020
Electrical and electronic engineering technologists and technicians,82,2020
"Other engineering technologists and technicians, except drafters",344,2020
Surveying and mapping technicians,56,2020
"Life, physical, and social science occupations",1627,2020
Agricultural and food scientists,32,2020
Biological scientists,84,2020
Conservation scientists and foresters,19,2020
Medical scientists,112,2020
"Life scientists, all other",6,2020
Astronomers and physicists,19,2020
Atmospheric and space scientists,10,2020
Chemists and materials scientists,80,2020
"Environmental scientists and specialists, including health",46,2020
"Geoscientists and hydrologists, except geographers",37,2020
"Physical scientists, all other",336,2020
Economists,26,2020
Survey researchers,5,2020
Clinical and counseling psychologists,18,2020
School psychologists,43,2020
Other psychologists,145,2020
Sociologists,3,2020
Urban and regional planners,47,2020
Miscellaneous social scientists and related workers,50,2020
Agricultural and food science technicians,41,2020
Biological technicians,24,2020
Chemical technicians,68,2020
Environmental science and geoscience technicians,21,2020
Nuclear technicians,7,2020
Social science research assistants,4,2020
"Other life, physical, and social science technicians",258,2020
Community and social service occupations,2717,2020
Substance abuse and behavioral disorder counselors,130,2020
"Educational, guidance, and career counselors and advisors",343,2020
Marriage and family therapists,40,2020
Mental health counselors,138,2020
Rehabilitation counselors,28,2020
"Counselors, all other",225,2020
"Child, family, and school social workers",62,2020
Healthcare social workers,78,2020
Mental health and substance abuse social workers,24,2020
"Social workers, all other",673,2020
Probation officers and correctional treatment specialists,105,2020
Social and human service assistants,230,2020
Other community and social service specialists,100,2020
Clergy,420,2020
"Directors, religious activities and education",57,2020
"Religious workers, all other",64,2020
Legal occupations,1882,2020
Lawyers,1183,2020
Judicial law clerks,21,2020
"Judges, magistrates, and other judicial workers",78,2020
Paralegals and legal assistants,416,2020
"Title examiners, abstractors, and searchers",101,2020
"Legal support workers, all other",83,2020
"Education, training, and library occupations",8902,2020
Postsecondary teachers,1156,2020
Preschool and kindergarten teachers,535,2020
Elementary and middle school teachers,3371,2020
Secondary school teachers,963,2020
Special education teachers,332,2020
Tutors,195,2020
Other teachers and instructors,687,2020
"Archivists, curators, and museum technicians",57,2020
Librarians and media collections specialists,176,2020
Library technicians,34,2020
Teaching assistants,1220,2020
Other educational instruction and library workers,176,2020
"Arts, design, entertainment, sports, and media occupations",3042,2020
Artists and related workers,256,2020
Commercial and industrial designers,11,2020
Fashion designers,34,2020
Floral designers,50,2020
Graphic designers,295,2020
Interior designers,131,2020
Merchandise displayers and window trimmers,24,2020
Other designers,375,2020
Actors,29,2020
Producers and directors,181,2020
Athletes and sports competitors,28,2020
Coaches and scouts,210,2020
"Umpires, referees, and other sports officials",25,2020
Dancers and choreographers,7,2020
Music directors and composers,50,2020
Musicians and singers,118,2020
"Disc jockeys, except radio",15,2020
"Entertainers and performers, sports and related workers, all other",41,2020
Broadcast announcers and radio disc jockeys,28,2020
"News analysts, reporters, and journalists",77,2020
Public relations specialists,145,2020
Editors,99,2020
Technical writers,65,2020
Writers and authors,242,2020
Interpreters and translators,91,2020
Court reporters and simultaneous captioners,31,2020
"Media and communication workers, all other",19,2020
"Broadcast, sound, and lighting technicians",77,2020
Photographers,186,2020
"Television, video, and film camera operators and editors",100,2020
"Media and communication equipment workers, all other",2,2020
Healthcare practitioners and technical occupations,9559,2020
Chiropractors,66,2020
Dentists,173,2020
Dietitians and nutritionists,106,2020
Optometrists,42,2020
Pharmacists,327,2020
Emergency medicine physicians,17,2020
Radiologists,25,2020
Other physicians,929,2020
Surgeons,54,2020
Physician assistants,141,2020
Podiatrists,12,2020
Audiologists,20,2020
Physical therapists,281,2020
Radiation therapists,10,2020
Recreational therapists,21,2020
Respiratory therapists,122,2020
Speech-language pathologists,195,2020
Exercise physiologists,6,2020
"Therapists, all other",233,2020
Veterinarians,83,2020
Registered nurses,3256,2020
Nurse anesthetists,42,2020
Nurse midwives,5,2020
Nurse practitioners,218,2020
Acupuncturists,23,2020
"Healthcare diagnosing or treating practitioners, all other",15,2020
Clinical laboratory technologists and technicians,331,2020
Dental hygienists,190,2020
Cardiovascular technologists and technicians,50,2020
Diagnostic medical sonographers,90,2020
Radiologic technologists and technicians,254,2020
Magnetic resonance imaging technologists,57,2020
Nuclear medicine technologists and medical dosimetrists,35,2020
Emergency medical technicians,141,2020
Paramedics,78,2020
Pharmacy technicians,336,2020
Psychiatric technicians,67,2020
Surgical technologists,108,2020
Veterinary technologists and technicians,105,2020
Dietetic technicians and ophthalmic medical technicians,66,2020
Licensed practical and licensed vocational nurses,596,2020
