occupation,employment,year
Web developers,76,2023
Web and digital interface designers,79,2023
Computer support specialists,687,2023
Database administrators and architects,122,2023
Network and computer systems administrators,202,2023
Computer network architects,104,2023
"Computer occupations, all other",1197,2023
Actuaries,43,2023
Mathematicians,5,2023
Operations research analysts,138,2023
Statisticians,46,2023
Other mathematical science occupations,402,2023
Architecture and engineering occupations,3602,2023
"Architects, except landscape and naval",203,2023
Landscape architects,28,2023
"Surveyors, cartographers, and photogrammetrists",44,2023
Aerospace engineers,166,2023
Agricultural engineers,4,2023
Bioengineers and biomedical engineers,26,2023
Chemical engineers,83,2023
Civil engineers,517,2023
Computer hardware engineers,71,2023
Electrical and electronics engineers,250,2023
Environmental engineers,38,2023
"Industrial engineers, including health and safety",298,2023
Marine engineers and naval architects,16,2023
Materials engineers,54,2023
Mechanical engineers,433,2023
"Mining and geological engineers, including mining safety engineers",10,2023
Nuclear engineers,3,2023
Petroleum engineers,12,2023
"Engineers, all other",669,2023
Architectural and civil drafters,33,2023
Other drafters,98,2023
Electrical and electronic engineering technologists and technicians,97,2023
"Other engineering technologists and technicians, except drafters",366,2023
Surveying and mapping technicians,87,2023
"Life, physical, and social science occupations",1870,2023
Agricultural and food scientists,29,2023
Biological scientists,118,2023
Conservation scientists and foresters,32,2023
Medical scientists,130,2023
"Life scientists, all other",8,2023
Astronomers and physicists,25,2023
Atmospheric and space scientists,15,2023
Chemists and materials scientists,93,2023
"Environmental scientists and specialists, including health",46,2023
"Geoscientists and hydrologists, except geographers",33,2023
"Physical scientists, all other",441,2023
Economists,28,2023
Survey researchers,2,2023
Clinical and counseling psychologists,19,2023
School psychologists,56,2023
Other psychologists,153,2023
Sociologists,4,2023
Urban and regional planners,37,2023
Miscellaneous social scientists and related workers,55,2023
Agricultural and food science technicians,48,2023
Biological technicians,32,2023
Chemical technicians,63,2023
Environmental science and geoscience technicians,18,2023
Nuclear technicians,6,2023
Social science research assistants,4,2023
"Other life, physical, and social science technicians",304,2023
Community and social service occupations,2879,2023
Substance abuse and behavioral disorder counselors,133,2023
"Educational, guidance, and career counselors and advisors",384,2023
Marriage and family therapists,34,2023
Mental health counselors,219,2023
Rehabilitation counselors,17,2023
"Counselors, all other",255,2023
"Child, family, and school social workers",60,2023
Healthcare social workers,79,2023
Mental health and substance abuse social workers,20,2023
"Social workers, all other",704,2023
Probation officers and correctional treatment specialists,77,2023
Social and human service assistants,245,2023
Other community and social service specialists,99,2023
Clergy,403,2023
"Directors, religious activities and education",78,2023
"Religious workers, all other",74,2023
Legal occupations,1897,2023
Lawyers,1189,2023
Judicial law clerks,19,2023
"Judges, magistrates, and other judicial workers",76,2023
Paralegals and legal assistants,434,2023
"Title examiners, abstractors, and searchers",97,2023
"Legal support workers, all other",83,2023
"Education, training, and library occupations",9403,2023
Postsecondary teachers,1013,2023
Preschool and kindergarten teachers,669,2023
Elementary and middle school teachers,3436,2023
Secondary school teachers,944,2023
Special education teachers,341,2023
Tutors,141,2023
Other teachers and instructors,973,2023
"Archivists, curators, and museum technicians",76,2023
Librarians and media collections specialists,146,2023
Library technicians,33,2023
Teaching assistants,1426,2023
Other educational instruction and library workers,204,2023
"Arts, design, entertainment, sports, and media occupations",3478,2023
Artists and related workers,334,2023
Commercial and industrial designers,17,2023
Fashion designers,39,2023
Floral designers,63,2023
Graphic designers,312,2023
Interior designers,103,2023
Merchandise displayers and window trimmers,28,2023
Other designers,384,2023
Actors,50,2023
Producers and directors,167,2023
Athletes and sports competitors,42,2023
Coaches and scouts,288,2023
"Umpires, referees, and other sports officials",25,2023
Dancers and choreographers,16,2023
Music directors and composers,46,2023
Musicians and singers,170,2023
"Disc jockeys, except radio",28,2023
"Entertainers and performers, sports and related workers, all other",36,2023
Broadcast announcers and radio disc jockeys,27,2023
"News analysts, reporters, and journalists",65,2023
Public relations specialists,140,2023
Editors,125,2023
Technical writers,49,2023
Writers and authors,271,2023
Interpreters and translators,101,2023
Court reporters and simultaneous captioners,21,2023
"Media and communication workers, all other",30,2023
"Broadcast, sound, and lighting technicians",124,2023
Photographers,228,2023
"Television, video, and film camera operators and editors",148,2023
"Media and communication equipment workers, all other",1,2023
Healthcare practitioners and technical occupations,10099,2023
Chiropractors,60,2023
Dentists,164,2023
Dietitians and nutritionists,114,2023
Optometrists,47,2023
Pharmacists,354,2023
Emergency medicine physicians,27,2023
Radiologists,19,2023
Other physicians,903,2023
Surgeons,59,2023
Physician assistants,178,2023
Podiatrists,11,2023
Audiologists,19,2023
Physical therapists,312,2023
Radiation therapists,16,2023
Recreational therapists,17,2023
Respiratory therapists,92,2023
Speech-language pathologists,185,2023
Exercise physiologists,6,2023
"Therapists, all other",303,2023
Veterinarians,87,2023
Registered nurses,3472,2023
Nurse anesthetists,22,2023
Nurse midwives,6,2023
Nurse practitioners,276,2023
Acupuncturists,27,2023
"Healthcare diagnosing or treating practitioners, all other",13,2023
Clinical laboratory technologists and technicians,302,2023
Dental hygienists,206,2023
Cardiovascular technologists and technicians,48,2023
Diagnostic medical sonographers,105,2023
Radiologic technologists and technicians,259,2023
Magnetic resonance imaging technologists,46,2023
Nuclear medicine technologists and medical dosimetrists,42,2023
Emergency medical technicians,156,2023
Paramedics,107,2023
Pharmacy technicians,330,2023
Psychiatric technicians,113,2023
Surgical technologists,110,2023
Veterinary technologists and technicians,142,2023
Dietetic technicians and ophthalmic medical technicians,70,2023
Licensed practical and licensed vocational nurses,584,2023
Medical records specialists,211,2023
"Opticians, dispensing",49,2023
Miscellaneous health technologists and technicians,146,2023
Other healthcare practitioners and technical occupations,130,2023
Service occupations,26171,2023
Healthcare support occupations,5123,2023
Home health aides,585,2023
Personal care aides,1521,2023
Nursing assistants,1261,2023
Orderlies and psychiatric aides,67,2023
Physical therapist assistants and aides,106,2023
Massage therapists,145,2023
Dental assistants,288,2023
Medical assistants,593,2023
Medical transcriptionists,41,2023
Pharmacy aides,32,2023
Veterinary assistants and laboratory animal caretakers,77,2023
Phlebotomists,139,2023
Other healthcare support workers,237,2023
Protective service occupations,3105,2023
First-line supervisors of correctional officers,61,2023
First-line supervisors of police and detectives,103,2023
First-line supervisors of firefighting and prevention workers,50,2023
First-line supervisors of security workers,71,2023
"First-line supervisors of protective service workers, all other",4,2023
Firefighters,296,2023
Fire inspectors,23,2023
Bailiffs,17,2023
Correctional officers and jailers,300,2023
Detectives and criminal investigators,145,2023
Fish and game wardens,6,2023
Parking enforcement workers,7,2023
Police officers,702,2023
Animal control workers,10,2023
Private detectives and investigators,123,2023
Security guards and gambling surveillance officers,925,2023
Crossing guards and flaggers,51,2023
Transportation security screeners,47,2023
School bus monitors,26,2023
Other protective service workers,137,2023
Food preparation and serving related occupations,8189,2023
Chefs and head cooks,476,2023
First-line supervisors of food preparation and serving workers,542,2023
Cooks,2016,2023
Food preparation workers,933,2023
Bartenders,408,2023
Fast food and counter workers,885,2023
Waiters and waitresses,1805,2023
"Food servers, nonrestaurant",215,2023
Dining room and cafeteria attendants and bartender helpers,303,2023
Dishwashers,268,2023
"Hosts and hostesses, restaurant, lounge, and coffee shop",327,2023
"Food preparation and serving related workers, all other",9,2023
Building and grounds cleaning and maintenance occupations,5534,2023
First-line supervisors of housekeeping and janitorial workers,321,2023
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",283,2023
Janitors and building cleaners,2204,2023
Maids and housekeeping cleaners,1380,2023
Pest control workers,90,2023
Landscaping and groundskeeping workers,1119,2023
Tree trimmers and pruners,118,2023
Other grounds maintenance workers,19,2023
Personal care and service occupations,4220,2023
Supervisors of personal care and service workers,253,2023
Animal trainers,82,2023
Animal caretakers,361,2023
Gambling services workers,90,2023
"Ushers, lobby attendants, and ticket takers",34,2023
Other entertainment attendants and related workers,231,2023
"Embalmers, crematory operators, and funeral attendants",21,2023
"Morticians, undertakers, and funeral arrangers",45,2023
Barbers,149,2023
"Hairdressers, hairstylists, and cosmetologists",717,2023
Manicurists and pedicurists,324,2023
Skincare specialists,102,2023
Other personal appearance workers,21,2023
"Baggage porters, bellhops, and concierges",78,2023
Tour and travel guides,55,2023
Childcare workers,1036,2023
Exercise trainers and group fitness instructors,257,2023
Recreation workers,182,2023
Residential advisors,40,2023
"Personal care and service workers, all other",143,2023
Sales and office occupations,30279,2023
Sales and related occupations,14325,2023
First-line supervisors of retail sales workers,3157,2023
First-line supervisors of non-retail sales workers,1268,2023
Cashiers,2576,2023
Counter and rental clerks,79,2023
Parts salespersons,117,2023
Retail salespersons,2721,2023
Advertising sales agents,111,2023
Insurance sales agents,632,2023
"Securities, commodities, and financial services sales agents",249,2023
Travel agents,77,2023
"Sales representatives of services, except advertising, insurance, financial services, and travel",638,2023
"Sales representatives, wholesale and manufacturing",1152,2023
"Models, demonstrators, and product promoters",33,2023
Real estate brokers and sales agents,1031,2023
Sales engineers,41,2023
Telemarketers,31,2023
"Door-to-door sales workers, news and street vendors, and related workers",73,2023
"Sales and related workers, all other",339,2023
Office and administrative support occupations,15954,2023
First-line supervisors of office and administrative support workers,1154,2023
"Switchboard operators, including answering service",18,2023
Telephone operators,17,2023
"Communications equipment operators, all other",1,2023
Bill and account collectors,87,2023
Billing and posting clerks,436,2023
"Bookkeeping, accounting, and auditing clerks",1210,2023
Gambling cage workers,29,2023
Payroll and timekeeping clerks,132,2023
Procurement clerks,46,2023
Tellers,204,2023
"Financial clerks, all other",128,2023
Brokerage clerks,6,2023
Correspondence clerks,4,2023
"Court, municipal, and license clerks",82,2023
"Credit authorizers, checkers, and clerks",32,2023
Customer service representatives,2822,2023
"Eligibility interviewers, government programs",94,2023
File Clerks,130,2023
"Hotel, motel, and resort desk clerks",106,2023
"Interviewers, except eligibility and loan",205,2023
"Library assistants, clerical",71,2023
Loan interviewers and clerks,125,2023
New accounts clerks,18,2023
Order clerks,106,2023
"Human resources assistants, except payroll and timekeeping",84,2023
Receptionists and information clerks,1196,2023
Reservation and transportation ticket agents and travel clerks,123,2023
"Information and record clerks, all other",92,2023
Cargo and freight agents,26,2023
Couriers and messengers,929,2023
Public safety telecommunicators,76,2023
"Dispatchers, except police, fire, and ambulance",184,2023
"Meter readers, utilities",14,2023
Postal service clerks,96,2023
Postal service mail carriers,302,2023
"Postal service mail sorters, processors, and processing machine operators",65,2023
"Production, planning, and expediting clerks",212,2023
"Shipping, receiving, and inventory clerks",621,2023
"Weighers, measurers, checkers, and samplers, recordkeeping",67,2023
Executive secretaries and executive administrative assistants,210,2023
Legal secretaries and administrative assistants,54,2023
Medical secretaries and administrative assistants,103,2023
"Secretaries and administrative assistants, except legal, medical, and executive",1841,2023
Data entry keyers,224,2023
Word processors and typists,46,2023
Desktop publishers,3,2023
Insurance claims and policy processing clerks,308,2023
"Mail clerks and mail machine operators, except postal service",44,2023
"Office clerks, general",1274,2023
"Office machine operators, except computer",29,2023
Proofreaders and copy markers,7,2023
Statistical assistants,16,2023
"Office and administrative support workers, all other",447,2023
"Natural resources, construction, and maintenance occupations",14326,2023
"Farming, fishing, and forestry occupations",987,2023
"First-line supervisors of farming, fishing, and forestry workers",70,2023
Agricultural inspectors,26,2023
Animal breeders,15,2023
"Graders and sorters, agricultural products",45,2023
Miscellaneous agricultural workers,731,2023
Fishing and hunting workers,26,2023
Forest and conservation workers,16,2023
Logging workers,58,2023
Construction and extraction occupations,8457,2023
First-line supervisors of construction trades and extraction workers,702,2023
Boilermakers,13,2023
"Brickmasons, blockmasons, and stonemasons",117,2023
Carpenters,1275,2023
"Carpet, floor, and tile installers and finishers",114,2023
"Cement masons, concrete finishers, and terrazzo workers",56,2023
Construction laborers,2223,2023
Construction equipment operators,395,2023
"Drywall installers, ceiling tile installers, and tapers",162,2023
Electricians,959,2023
Glaziers,39,2023
Insulation workers,59,2023
Painters and paperhangers,561,2023
Pipelayers,54,2023
"Plumbers, pipefitters, and steamfitters",635,2023
Plasterers and stucco masons,21,2023
Reinforcing iron and rebar workers,11,2023
Roofers,235,2023
Sheet metal workers,127,2023
Structural iron and steel workers,42,2023
Solar photovoltaic installers,20,2023
"Helpers, construction trades",64,2023
Construction and building inspectors,115,2023
Elevator and escalator installers and repairers,46,2023
Fence erectors,40,2023
Hazardous materials removal workers,25,2023
Highway maintenance workers,93,2023
Rail-track laying and maintenance equipment operators,22,2023
Septic tank servicers and sewer pipe cleaners,7,2023
Miscellaneous construction and related workers,65,2023
"Derrick, rotary drill, and service unit operators, oil and gas",24,2023
"Excavating and loading machine and dragline operators, surface mining",10,2023
"Earth drillers, except oil and gas",25,2023
"Explosives workers, ordnance handling experts, and blasters",8,2023
Underground mining machine operators,38,2023
"Roustabouts, oil and gas",8,2023
Other extraction workers,47,2023
"Installation, maintenance, and repair occupations",4881,2023
"First-line supervisors of mechanics, installers, and repairers",239,2023
"Computer, automated teller, and office machine repairers",134,2023
Radio and telecommunications equipment installers and repairers,116,2023
Avionics technicians,12,2023
"Electric motor, power tool, and related repairers",22,2023
"Electrical and electronics installers and repairers, transportation equipment",1,2023
"Electrical and electronics repairers, industrial and utility",6,2023
"Electronic equipment installers and repairers, motor vehicles",5,2023
Audiovisual equipment installers and repairers,26,2023
Security and fire alarm systems installers,48,2023
Aircraft mechanics and service technicians,124,2023
Automotive body and related repairers,127,2023
Automotive glass installers and repairers,24,2023
Automotive service technicians and mechanics,933,2023
Bus and truck mechanics and diesel engine specialists,334,2023
Heavy vehicle and mobile equipment service technicians and mechanics,201,2023
Small engine mechanics,41,2023
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",90,2023
Control and valve installers and repairers,26,2023
"Heating, air conditioning, and refrigeration mechanics and installers",546,2023
Home appliance repairers,41,2023
Industrial and refractory machinery mechanics,416,2023
"Maintenance and repair workers, general",672,2023
"Maintenance workers, machinery",22,2023
Millwrights,42,2023
Electrical power-line installers and repairers,130,2023
Telecommunications line installers and repairers,160,2023
Precision instrument and equipment repairers,46,2023
Wind turbine service technicians,7,2023
"Coin, vending, and amusement machine servicers and repairers",33,2023
Commercial divers,1,2023
Locksmiths and safe repairers,29,2023
Manufactured building and mobile home installers,5,2023
Riggers,14,2023
"Helpers--installation, maintenance, and repair workers",18,2023
"Other installation, maintenance, and repair workers",190,2023
"Production, transportation, and material moving occupations",19986,2023
Production occupations,8280,2023
First-line supervisors of production and operating workers,776,2023
"Aircraft structure, surfaces, rigging, and systems assemblers",10,2023
"Electrical, electronics, and electromechanical assemblers",114,2023
Engine and other machine assemblers,15,2023
Structural metal fabricators and fitters,22,2023
Other assemblers and fabricators,1048,2023
Bakers,233,2023
"Butchers and other meat, poultry, and fish processing workers",243,2023
"Food and tobacco roasting, baking, and drying machine operators and tenders",8,2023
Food batchmakers,79,2023
Food cooking machine operators and tenders,10,2023
"Food processing workers, all other",140,2023
Computer numerically controlled tool operators and programmers,100,2023
"Forming machine setters, operators, and tenders, metal and plastic",34,2023
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",74,2023
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",38,2023
"Other machine tool setters, operators, and tenders, metal and plastic",6,2023
Machinists,307,2023
"Metal furnace operators, tenders, pourers, and casters",16,2023
"Model makers and patternmakers, metal and plastic",4,2023
"Molders and molding machine setters, operators, and tenders, metal and plastic",29,2023
Tool and die makers,39,2023
"Welding, soldering, and brazing workers",559,2023
Other metal workers and plastic workers,361,2023
Prepress technicians and workers,15,2023
Printing press operators,148,2023
Print binding and finishing workers,13,2023
Laundry and dry-cleaning workers,121,2023
"Pressers, textile, garment, and related materials",28,2023
Sewing machine operators,129,2023
Shoe and leather workers,13,2023
"Tailors, dressmakers, and sewers",51,2023
"Textile machine setters, operators, and tenders",21,2023
Upholsterers,17,2023
"Other textile, apparel, and furnishings workers",14,2023
Cabinetmakers and bench carpenters,60,2023
Furniture finishers,16,2023
"Sawing machine setters, operators, and tenders, wood",23,2023
"Woodworking machine setters, operators, and tenders, except sawing",28,2023
Other woodworkers,27,2023
"Power plant operators, distributors, and dispatchers",46,2023
Stationary engineers and boiler operators,73,2023
Water and wastewater treatment plant and system operators,89,2023
Miscellaneous plant and system operators,37,2023
"Chemical processing machine setters, operators, and tenders",45,2023
"Crushing, grinding, polishing, mixing, and blending workers",87,2023
Cutting workers,56,2023
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",14,2023
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,2023
"Inspectors, testers, sorters, samplers, and weighers",793,2023
Jewelers and precious stone and metal workers,58,2023
Dental and ophthalmic laboratory technicians and medical appliance technicians,76,2023
Packaging and filling machine operators and tenders,301,2023
Painting workers,142,2023
Photographic process workers and processing machine operators,30,2023
Adhesive bonding machine operators and tenders,10,2023
Etchers and engravers,8,2023
"Molders, shapers, and casters, except metal and plastic",32,2023
"Paper goods machine setters, operators, and tenders",15,2023
Tire builders,9,2023
Helpers--production workers,68,2023
Other production equipment operators and tenders,8,2023
Other production workers,1280,2023
Transportation and material moving occupations,11706,2023
Supervisors of transportation and material moving workers,349,2023
Aircraft pilots and flight engineers,211,2023
Air traffic controllers and airfield operations specialists,39,2023
Flight attendants,115,2023
"Ambulance drivers and attendants, except emergency medical technicians",16,2023
"Bus drivers, school",218,2023
"Bus drivers, transit and intercity",284,2023
Driver/sales workers and truck drivers,3551,2023
Shuttle drivers and chauffeurs,78,2023
Taxi drivers,456,2023
"Motor vehicle operators, all other",212,2023
Locomotive engineers and operators,44,2023
Railroad conductors and yardmasters,48,2023
Other rail transportation workers,24,2023
Sailors and marine oilers,17,2023
Ship and boat captains and operators,42,2023
Ship engineers,1,2023
Parking attendants,61,2023
Transportation service attendants,79,2023
Transportation inspectors,35,2023
Passenger attendants,26,2023
Other transportation workers,36,2023
Crane and tower operators,60,2023
"Conveyor, dredge, and hoist and winch operators",37,2023
Industrial truck and tractor operators,629,2023
Cleaners of vehicles and equipment,401,2023
"Laborers and freight, stock, and material movers, hand",2090,2023
Machine feeders and offbearers,30,2023
"Packers and packagers, hand",690,2023
Stockers and order fillers,1640,2023
Pumping station operators,21,2023
Refuse and recyclable material collectors,112,2023
Other material moving workers,55,2023
