occupation,avg_annual_growth,2019,2023,growth_2019_2023
Dishwashers,0.3787878787878788,264.0,268.0,1.5151515151515151
Network and computer systems administrators,0.37688442211055273,199.0,202.0,1.507537688442211
Dental assistants,0.35211267605633806,284.0,288.0,1.4084507042253522
Dentists,0.30864197530864196,162.0,164.0,1.2345679012345678
Chefs and head cooks,0.10548523206751054,474.0,476.0,0.42194092827004215
"Installation, maintenance, and repair occupations",0.097696421225833,4862.0,4881.0,0.390785684903332
"Roustabouts, oil and gas",0.0,8.0,8.0,0.0
Proofreaders and copy markers,0.0,7.0,7.0,0.0
Medical transcriptionists,0.0,41.0,41.0,0.0
Etchers and engravers,0.0,8.0,8.0,0.0
Postal service clerks,0.0,96.0,96.0,0.0
"Pressers, textile, garment, and related materials",0.0,28.0,28.0,0.0
"Opticians, dispensing",0.0,49.0,49.0,0.0
Manufactured building and mobile home installers,0.0,5.0,5.0,0.0
Adhesive bonding machine operators and tenders,0.0,10.0,10.0,0.0
Animal control workers,0.0,10.0,10.0,0.0
Financial examiners,0.0,21.0,21.0,0.0
"Explosives workers, ordnance handling experts, and blasters",0.0,8.0,8.0,0.0
Insulation workers,0.0,59.0,59.0,0.0
Radiation therapists,0.0,16.0,16.0,0.0
Library technicians,0.0,33.0,33.0,0.0
"Natural resources, construction, and maintenance occupations",-0.029631178972320996,14343.0,14326.0,-0.11852471588928398
"Wholesale and retail buyers, except farm products",-0.11061946902654868,226.0,225.0,-0.4424778761061947
Medical assistants,-0.12583892617449663,596.0,593.0,-0.5033557046979865
"Education, training, and library occupations",-0.13749338974087785,9455.0,9403.0,-0.5499735589635114
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",-0.17543859649122806,285.0,283.0,-0.7017543859649122
Protective service occupations,-0.1838235294117647,3128.0,3105.0,-0.7352941176470588
Cooks,-0.1846381093057607,2031.0,2016.0,-0.7385524372230428
Dental hygienists,-0.2403846153846154,208.0,206.0,-0.9615384615384616
"Inspectors, testers, sorters, samplers, and weighers",-0.2805486284289277,802.0,793.0,-1.1221945137157108
Carpenters,-0.3289473684210526,1292.0,1275.0,-1.3157894736842104
Driver/sales workers and truck drivers,-0.3949556541019955,3608.0,3551.0,-1.579822616407982
Chiropractors,-0.4098360655737705,61.0,60.0,-1.639344262295082
Computer network architects,-0.4716981132075472,106.0,104.0,-1.8867924528301887
Paralegals and legal assistants,-0.5630630630630631,444.0,434.0,-2.2522522522522523
Electrical power-line installers and repairers,-0.5639097744360901,133.0,130.0,-2.2556390977443606
Other healthcare practitioners and technical occupations,-0.5639097744360901,133.0,130.0,-2.2556390977443606
Food preparation and serving related occupations,-0.563977082835999,8378.0,8189.0,-2.255908331343996
First-line supervisors of retail sales workers,-0.5801361386138614,3232.0,3157.0,-2.3205445544554455
Clergy,-0.6053268765133172,413.0,403.0,-2.4213075060532687
Fence erectors,-0.6097560975609756,41.0,40.0,-2.4390243902439024
Janitors and building cleaners,-0.673289183222958,2265.0,2204.0,-2.693156732891832
Legal occupations,-0.7416879795396419,1955.0,1897.0,-2.9667519181585678
Service occupations,-0.7478315664615612,26978.0,26171.0,-2.991326265846245
Production occupations,-0.8318739054290718,8565.0,8280.0,-3.327495621716287
"Crushing, grinding, polishing, mixing, and blending workers",-0.8333333333333334,90.0,87.0,-3.3333333333333335
Food batchmakers,-0.9146341463414633,82.0,79.0,-3.6585365853658534
Building and grounds cleaning and maintenance occupations,-0.9223807866341802,5746.0,5534.0,-3.689523146536721
Bus and truck mechanics and diesel engine specialists,-0.9365994236311239,347.0,334.0,-3.7463976945244957
Miscellaneous health technologists and technicians,-0.9868421052631579,152.0,146.0,-3.9473684210526314
Food service managers,-1.0208166533226581,1249.0,1198.0,-4.083266613290633
Lawyers,-1.028225806451613,1240.0,1189.0,-4.112903225806452
Chemists and materials scientists,-1.0309278350515463,97.0,93.0,-4.123711340206185
Other teachers and instructors,-1.0816125860373649,1017.0,973.0,-4.3264503441494595
Chemical engineers,-1.1494252873563218,87.0,83.0,-4.597701149425287
Elementary and middle school teachers,-1.1653718091009988,3604.0,3436.0,-4.661487236403995
Heavy vehicle and mobile equipment service technicians and mechanics,-1.1848341232227488,211.0,201.0,-4.739336492890995
"Food processing workers, all other",-1.1904761904761905,147.0,140.0,-4.761904761904762
Crane and tower operators,-1.1904761904761905,63.0,60.0,-4.761904761904762
Billing and posting clerks,-1.252723311546841,459.0,436.0,-5.010893246187364
Other transportation workers,-1.3157894736842104,38.0,36.0,-5.263157894736842
"Helpers--installation, maintenance, and repair workers",-1.3157894736842104,19.0,18.0,-5.263157894736842
Order clerks,-1.3392857142857142,112.0,106.0,-5.357142857142857
"Welding, soldering, and brazing workers",-1.3935810810810811,592.0,559.0,-5.574324324324325
Real estate brokers and sales agents,-1.461187214611872,1095.0,1031.0,-5.844748858447488
"Office clerks, general",-1.4944649446494465,1355.0,1274.0,-5.977859778597786
Travel agents,-1.524390243902439,82.0,77.0,-6.097560975609756
Pest control workers,-1.5625,96.0,90.0,-6.25
Maids and housekeeping cleaners,-1.6101694915254237,1475.0,1380.0,-6.440677966101695
"Laborers and freight, stock, and material movers, hand",-1.6219239373601788,2235.0,2090.0,-6.487695749440715
Clinical laboratory technologists and technicians,-1.6253869969040249,323.0,302.0,-6.5015479876160995
Ship and boat captains and operators,-1.6666666666666667,45.0,42.0,-6.666666666666667
