occupation,2019,2020,2021,2022,2023
Food service managers,1249.0,1092.0,1133.0,1153.0,1198.0
Forest and conservation workers,21.0,21.0,21.0,15.0,16.0
"Forging machine setters, operators, and tenders, metal and plastic",7.0,,,,
"Forming machine setters, operators, and tenders, metal and plastic",,28.0,25.0,30.0,34.0
Fundraisers,93.0,99.0,93.0,76.0,102.0
Funeral home managers,,10.0,9.0,8.0,10.0
Funeral service managers,13.0,,,,
"Furnace, kiln, oven, drier, and kettle operators and tenders",17.0,12.0,13.0,10.0,10.0
Furniture finishers,18.0,13.0,11.0,14.0,16.0
Gambling cage workers,,13.0,15.0,23.0,29.0
Gambling services workers,,64.0,66.0,74.0,90.0
Gaming cage workers,13.0,,,,
Gaming managers,19.0,,,,
Gaming services workers,93.0,,,,
General and operations managers,1058.0,1057.0,1085.0,1165.0,1359.0
Geological and petroleum technicians,20.0,,,,
"Geoscientists and hydrologists, except geographers",,37.0,42.0,43.0,33.0
Glaziers,38.0,45.0,53.0,32.0,39.0
"Graders and sorters, agricultural products",88.0,36.0,53.0,47.0,45.0
Graphic designers,,295.0,271.0,328.0,312.0
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",44.0,41.0,32.0,25.0,38.0
Grounds maintenance workers,1273.0,,,,
"Hairdressers, hairstylists, and cosmetologists",803.0,646.0,713.0,720.0,717.0
Hazardous materials removal workers,40.0,31.0,27.0,25.0,25.0
"Health diagnosing and treating practitioners, all other",35.0,,,,
Health practitioner support technologists and technicians,710.0,,,,
"Healthcare diagnosing or treating practitioners, all other",,15.0,13.0,15.0,13.0
Healthcare practitioners and technical occupations,9684.0,9559.0,9639.0,9808.0,10099.0
Healthcare social workers,,78.0,77.0,89.0,79.0
Healthcare support occupations,3758.0,4790.0,4887.0,4930.0,5123.0
"Heat treating equipment setters, operators, and tenders, metal and plastic",4.0,,,,
"Heating, air conditioning, and refrigeration mechanics and installers",466.0,450.0,445.0,472.0,546.0
Heavy vehicle and mobile equipment service technicians and mechanics,211.0,191.0,248.0,224.0,201.0
"Helpers, construction trades",50.0,47.0,71.0,54.0,64.0
Helpers--extraction workers,2.0,,,,
"Helpers--installation, maintenance, and repair workers",19.0,16.0,19.0,15.0,18.0
Helpers--production workers,54.0,38.0,53.0,65.0,68.0
Highway maintenance workers,113.0,102.0,99.0,108.0,93.0
Hoist and winch operators,9.0,,,,
Home appliance repairers,51.0,38.0,49.0,46.0,41.0
Home health aides,,571.0,570.0,617.0,585.0
"Hosts and hostesses, restaurant, lounge, and coffee shop",322.0,218.0,282.0,293.0,327.0
"Hotel, motel, and resort desk clerks",116.0,91.0,119.0,132.0,106.0
"Human resources assistants, except payroll and timekeeping",60.0,44.0,38.0,89.0,84.0
Human resources managers,321.0,287.0,273.0,295.0,335.0
Human resources workers,770.0,832.0,871.0,936.0,980.0
Hunters and trappers,0.0,,,,
Industrial and refractory machinery mechanics,408.0,399.0,429.0,401.0,416.0
"Industrial engineers, including health and safety",245.0,225.0,216.0,221.0,298.0
Industrial production managers,274.0,272.0,256.0,281.0,279.0
Industrial truck and tractor operators,571.0,553.0,623.0,636.0,629.0
"Information and record clerks, all other",99.0,113.0,107.0,93.0,92.0
Information security analysts,125.0,137.0,152.0,178.0,231.0
"Inspectors, testers, sorters, samplers, and weighers",802.0,751.0,829.0,781.0,793.0
